Team,Conference
"Air Force","Mountain West"
Akron,MAC
Alabama,SEC
"Appalachian State","Sun Belt"
Arizona,Pac-12
"Arizona State",Pac-12
Arkansas,SEC
"Arkansas State","Sun Belt"
Army,Independent
Auburn,SEC
"Ball State",MAC
Baylor,"Big 12"
"Boise State","Mountain West"
"Boston College",ACC
"Bowling Green",MAC
Buffalo,MAC
BYU,Independent
California,Pac-12
"Central Michigan",MAC
Charlotte,C-USA
Cincinnati,American
Clemson,ACC
"Coastal Carolina","Sun Belt"
Colorado,Pac-12
"Colorado State","Mountain West"
Duke,ACC
"East Carolina",American
"Eastern Michigan",MAC
FIU,C-USA
Florida,SEC
"Florida Atlantic",C-USA
"Florida State",ACC
"Fresno State","Mountain West"
Georgia,SEC
"Georgia Southern","Sun Belt"
"Georgia State","Sun Belt"
"Georgia Tech",ACC
Hawaii,"Mountain West"
Houston,American
Illinois,"Big Ten"
Indiana,"Big Ten"
Iowa,"Big Ten"
"Iowa State","Big 12"
Kansas,"Big 12"
"Kansas State","Big 12"
"Kent State",MAC
Kentucky,SEC
Liberty,Independent
Louisiana,"Sun Belt"
Louisiana-Monroe,"Sun Belt"
"Louisiana Tech",C-USA
Louisville,ACC
LSU,SEC
Marshall,C-USA
Maryland,"Big Ten"
Memphis,American
Miami,ACC
"Miami (OH)",MAC
Michigan,"Big Ten"
"Michigan State","Big Ten"
"Middle Tennessee State",C-USA
Minnesota,"Big Ten"
"Mississippi State",SEC
Missouri,SEC
Navy,American
"NC State",ACC
Nebraska,"Big Ten"
Nevada,"Mountain West"
"New Mexico","Mountain West"
"New Mexico State",Independent
"North Carolina",ACC
"North Texas",C-USA
"Northern Illinois",MAC
Northwestern,"Big Ten"
"Notre Dame",ACC
Ohio,MAC
"Ohio State","Big Ten"
Oklahoma,"Big 12"
"Oklahoma State","Big 12"
"Old Dominion",C-USA
"Ole Miss",SEC
Oregon,Pac-12
"Oregon State",Pac-12
"Penn State","Big Ten"
Pittsburgh,ACC
Purdue,"Big Ten"
Rice,C-USA
Rutgers,"Big Ten"
"San Diego State","Mountain West"
"San Jose State","Mountain West"
SMU,American
"South Alabama","Sun Belt"
"South Carolina",SEC
USF,American
"Southern Miss",C-USA
Stanford,Pac-12
Syracuse,ACC
TCU,"Big 12"
Temple,American
Tennessee,SEC
Texas,"Big 12"
"Texas A&M",SEC
"Texas State","Sun Belt"
"Texas Tech","Big 12"
Toledo,MAC
Troy,"Sun Belt"
Tulane,American
Tulsa,American
UAB,C-USA
UCF,American
UCLA,Pac-12
UConn,Independent
Massachusetts,Independent
UNLV,"Mountain West"
USC,Pac-12
UTEP,C-USA
UTSA,C-USA
Utah,Pac-12
"Utah State","Mountain West"
Vanderbilt,SEC
Virginia,ACC
"Virginia Tech",ACC
"Wake Forest",ACC
Washington,Pac-12
"Washington State",Pac-12
"West Virginia","Big 12"
"Western Kentucky",C-USA
"Western Michigan",MAC
Wisconsin,"Big Ten"
Wyoming,"Mountain West"
"Abilene Christian",Southland
"Alabama A&M",SWAC
"Alabama State",SWAC
Albany,CAA
"Alcorn State",SWAC
"Arkansas-Pine Bluff",SWAC
"Austin Peay","Ohio Valley"
Bethune-Cookman,MEAC
Brown,Ivy
Bryant,Northeast
Bucknell,Patriot
Butler,Pioneer
"Cal Poly","Big Sky"
Campbell,"Big South"
"Central Arkansas",Southland
"Central Connecticut",Northeast
"Charleston Southern","Big South"
Chattanooga,Southern
"The Citadel",Southern
Colgate,Patriot
Columbia,Ivy
Cornell,Ivy
Dartmouth,Ivy
Davidson,Pioneer
Dayton,Pioneer
Delaware,CAA
"Delaware State",MEAC
Drake,Pioneer
Duquesne,Northeast
"East Tennessee State",Southern
"Eastern Illinois","Ohio Valley"
"Eastern Kentucky","Ohio Valley"
"Eastern Washington","Big Sky"
Elon,CAA
"Florida A&M",MEAC
Fordham,Patriot
Furman,Southern
Gardner-Webb,"Big South"
Georgetown,Patriot
"Grambling State",SWAC
Hampton,"Big South"
Harvard,Ivy
"Holy Cross",Patriot
"Houston Baptist",Southland
Howard,MEAC
Idaho,"Big Sky"
"Idaho State","Big Sky"
"Illinois State","Missouri Valley"
"Incarnate Word",Southland
"Indiana State","Missouri Valley"
"Jackson State",SWAC
"Jacksonville State","Ohio Valley"
"James Madison",CAA
"Kennesaw State","Big South"
Lafayette,Patriot
Lamar,Southland
Lehigh,Patriot
LIU,Northeast
Maine,CAA
Marist,Pioneer
"McNeese State",Southland
Mercer,Southern
"Mississippi Valley State",SWAC
"Missouri State","Missouri Valley"
Monmouth,"Big South"
Montana,"Big Sky"
"Montana State","Big Sky"
"Morehead State",Pioneer
"Morgan State",MEAC
"Murray State","Ohio Valley"
"New Hampshire",CAA
"Nicholls State",Southland
"Norfolk State",MEAC
"North Carolina A&T",MEAC
"North Carolina Central",MEAC
"North Dakota","Missouri Valley"
"North Dakota State","Missouri Valley"
"Northern Arizona","Big Sky"
"Northern Colorado","Big Sky"
"Northern Iowa","Missouri Valley"
"Northwestern State",Southland
Penn,Ivy
"Portland State","Big Sky"
"Prairie View A&M",SWAC
Presbyterian,Independent
Princeton,Ivy
"Rhode Island",CAA
Richmond,CAA
"Robert Morris","Big South"
"Sacramento State","Big Sky"
"Sacred Heart",Northeast
"Saint Francis",Northeast
"Sam Houston State",Southland
Samford,Southern
"San Diego",Pioneer
"South Carolina State",MEAC
"South Dakota","Missouri Valley"
"South Dakota State","Missouri Valley"
"Southeast Missouri State","Ohio Valley"
"Southeastern Louisiana",Southland
Southern,SWAC
"Southern Illinois","Missouri Valley"
"Southern Utah","Big Sky"
"Stephen F. Austin",Southland
Stetson,Pioneer
"Stony Brook",CAA
"Tennessee State","Ohio Valley"
"Tennessee Tech","Ohio Valley"
"Texas Southern",SWAC
Towson,CAA
"UC Davis","Big Sky"
"UT Martin","Ohio Valley"
Valparaiso,Pioneer
Villanova,CAA
VMI,Southern
Wagner,Northeast
"Weber State","Big Sky"
"Western Carolina",Southern
"Western Illinois","Missouri Valley"
"William & Mary",CAA
Wofford,Southern
Yale,Ivy
"Youngstown State","Missouri Valley"
Connecticut,American
Jacksonville,ASUN
"St Francis (PA)",Northeast
"Grand Valley State",GLIAC
"Southern University",SWAC
"Long Island",Northeast
